contact,duration,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,contacts,financial,campaigns,demographic
telephone,59.0,1.1,93.994,-36.4,4.858,5191.0,1005.0,0,1,33
cellular,628.0,-2.9,92.201,-31.4,0.861,5076.2,1000.0,2,1,29
cellular,16.0,-1.8,92.893,-46.2,1.244,5099.1,1005.0,0,1,46
cellular,234.0,-3.4,92.431,-26.949999999999992,0.741,5017.5,997.0,2,3,64
cellular,167.0,-0.1,93.2,-42.0,4.076,5195.8,1001.0,2,1,34
cellular,18.0,-1.8,92.893,-46.2,1.244,5099.1,1004.0,0,1,46
cellular,270.0,-1.1,94.199,-37.5,0.879,4963.6,1003.0,0,1,31
cellular,330.0,1.4,93.918,-42.7,4.958,5228.1,1000.0,0,1,36
cellular,69.0,-0.1,93.2,-42.0,4.021,5195.8,1001.0,1,1,63
cellular,24.0,1.4,93.918,-42.7,4.96,5228.1,1002.0,3,1,47
cellular,451.0,1.4,93.918,-42.7,4.963,5228.1,1000.0,1,1,39
cellular,644.5,-1.8,92.893,-46.2,1.281,5099.1,1000.0,2,1,36
telephone,36.0,-0.1,93.2,-42.0,4.021,5195.8,1000.0,2,1,39
cellular,262.0,-2.9,92.963,-40.8,1.262,5076.2,1002.0,4,1,46
cellular,54.0,1.4,93.918,-42.7,4.958,5228.1,1002.0,4,1,50
telephone,287.0,1.4,94.465,-41.8,4.96,5228.1,1000.0,2,1,48
telephone,117.0,1.1,93.994,-36.4,4.86,5191.0,1000.0,2,1,49
telephone,227.0,1.1,93.994,-36.4,4.859,5191.0,1001.0,2,1,47
telephone,272.0,-0.1,93.2,-42.0,4.153,5195.8,1001.0,2,1,31
cellular,94.0,-1.8,92.893,-46.2,1.344,5099.1,1004.0,2,1,39
cellular,221.0,-0.1,93.2,-42.0,4.191,5195.8,1000.0,2,1,60
cellular,247.0,-2.9,92.469,-33.6,1.059,5076.2,1001.0,2,1,64
cellular,86.0,-0.1,93.2,-42.0,4.12,5195.8,1001.0,2,1,55
telephone,287.0,1.4,94.465,-41.8,4.866,5228.1,1000.0,1,1,45
cellular,578.0,-1.8,92.893,-46.2,1.266,5099.1,1000.0,0,1,43
cellular,216.0,1.4,93.444,-36.1,4.965,5228.1,1000.0,0,1,52
cellular,283.0,-1.1,94.767,-50.8,1.049,4963.6,997.0,2,9,54
cellular,111.0,-0.1,93.2,-42.0,4.153,5195.8,1000.0,0,1,39
telephone,230.0,-2.9,92.963,-40.8,1.26,5076.2,1003.0,2,1,63
cellular,52.0,-1.8,92.893,-46.2,1.25,5099.1,1002.0,2,1,48
telephone,175.0,1.1,93.994,-36.4,4.857,5191.0,1000.0,4,1,39
telephone,181.0,1.1,93.994,-36.4,4.857,5191.0,1000.0,2,1,37
telephone,627.0,1.1,93.994,-36.4,4.859,5191.0,1000.0,0,1,55
cellular,182.0,-3.4,92.379,-29.8,0.797,5017.5,1000.0,2,1,48
cellular,80.0,-1.8,93.075,-47.1,1.415,5099.1,1002.0,2,1,55
cellular,356.0,1.4,93.918,-42.7,4.962,5228.1,1002.0,0,1,52
telephone,54.0,1.1,93.994,-36.4,4.86,5191.0,1000.0,2,1,52
cellular,219.0,-0.1,93.2,-42.0,4.12,5195.8,1001.0,0,1,31
telephone,23.0,-1.7,94.215,-40.3,0.884,4991.6,1001.0,0,1,47
cellular,72.0,1.4,93.444,-36.1,4.962,5228.1,1001.0,0,1,45
telephone,235.0,1.1,93.994,-36.4,4.857,5191.0,1003.0,0,1,42
cellular,84.0,-0.1,93.2,-42.0,4.153,5195.8,1000.0,0,1,39
cellular,222.0,-1.8,92.893,-46.2,1.244,5099.1,1005.0,2,1,45
telephone,64.0,1.1,93.994,-36.4,4.857,5191.0,1003.0,2,1,33
cellular,170.0,1.4,93.444,-36.1,4.966,5228.1,1002.0,1,1,50
cellular,644.5,1.4,93.444,-36.1,4.963,5228.1,1002.0,1,1,42
cellular,223.0,-3.4,92.431,-26.949999999999992,0.74,5017.5,1000.0,4,1,39
telephone,154.0,1.1,93.994,-36.4,4.857,5191.0,1001.0,0,1,45
cellular,332.0,-0.1,93.2,-42.0,4.076,5195.8,1002.0,2,1,42
telephone,91.0,1.4,94.465,-41.8,4.961,5228.1,1002.0,2,1,58
cellular,210.0,-0.1,93.2,-42.0,4.076,5195.8,1001.0,2,1,38
telephone,325.0,-1.8,92.893,-46.2,1.281,5099.1,1003.0,4,1,45
cellular,194.0,-3.4,92.431,-26.949999999999992,0.754,5017.5,997.0,2,3,39
telephone,143.0,1.4,94.465,-41.8,4.96,5228.1,1001.0,0,1,45
cellular,133.0,1.4,93.444,-36.1,4.963,5228.1,1002.0,2,1,58
cellular,141.0,1.4,93.918,-42.7,4.968,5228.1,1004.0,3,1,46
telephone,126.0,1.1,93.994,-36.4,4.857,5191.0,1001.0,2,1,43
cellular,454.0,1.4,93.918,-42.7,4.957,5228.1,1000.0,5,1,58
telephone,218.0,1.1,93.994,-36.4,4.857,5191.0,1000.0,0,1,63
cellular,103.0,1.4,93.918,-42.7,4.963,5228.1,1000.0,2,1,30
telephone,83.0,1.4,94.465,-41.8,4.959,5228.1,1005.0,3,1,44
cellular,644.5,-0.1,93.2,-42.0,4.12,5195.8,1003.0,2,1,34
cellular,276.0,-1.8,92.893,-46.2,1.299,5099.1,1002.0,2,1,50
cellular,644.5,-0.1,93.2,-42.0,4.153,5195.8,1000.0,0,1,62
telephone,644.5,1.1,93.994,-36.4,4.859,5191.0,1000.0,0,1,60
cellular,333.0,-1.8,92.893,-46.2,1.244,5099.1,1000.0,2,1,39
cellular,200.0,-1.8,93.075,-47.1,1.405,5099.1,1000.0,2,1,53
cellular,94.0,-1.8,92.893,-46.2,1.266,5099.1,1002.0,0,1,72
telephone,80.0,1.4,94.465,-41.8,4.865,5228.1,1002.0,2,1,43
telephone,189.0,1.4,94.465,-41.8,4.864,5228.1,1000.0,0,1,35
cellular,245.0,1.4,93.918,-42.7,4.962,5228.1,1001.0,2,1,34
cellular,172.0,-0.1,93.2,-42.0,4.12,5195.8,1002.0,2,1,43
cellular,377.0,1.4,93.918,-42.7,4.958,5228.1,1005.0,2,1,45
cellular,45.0,1.4,93.918,-42.7,4.957,5228.1,1000.0,4,1,46
cellular,644.5,-1.8,93.075,-47.1,1.372,5099.1,1002.0,2,1,38
cellular,142.0,1.4,93.918,-42.7,4.961,5228.1,1005.0,3,1,60
cellular,187.0,1.4,93.444,-36.1,4.965,5228.1,1000.0,0,1,49
cellular,123.0,1.4,93.918,-42.7,4.958,5228.1,1001.0,0,1,61
telephone,597.0,1.1,93.994,-36.4,4.857,5191.0,1002.0,2,1,53
cellular,252.0,-2.9,92.469,-33.6,1.072,5076.2,1000.0,0,1,52
telephone,169.0,1.4,94.465,-41.8,4.96,5228.1,1000.0,2,1,45
telephone,111.0,1.1,93.994,-36.4,4.857,5191.0,1000.0,2,1,40
telephone,17.0,1.1,93.994,-36.4,4.86,5191.0,1005.0,3,1,50
cellular,261.0,-1.8,92.893,-46.2,1.313,5099.1,1001.0,3,1,45
cellular,387.0,-1.8,93.876,-40.0,0.688,5008.7,1000.0,2,1,85
telephone,546.0,-1.8,92.893,-46.2,1.313,5099.1,1003.0,0,1,39
telephone,124.0,-0.1,93.2,-42.0,4.191,5195.8,1000.0,2,1,45
telephone,49.0,1.1,93.994,-36.4,4.857,5191.0,1001.0,1,1,46
telephone,108.0,1.4,94.465,-41.8,4.961,5228.1,1005.0,1,1,53
telephone,106.0,1.4,94.465,-41.8,4.96,5228.1,1005.0,0,1,38
telephone,644.5,1.4,94.465,-41.8,4.958,5228.1,1002.0,0,1,51
cellular,263.0,-3.4,92.649,-30.1,0.715,5017.5,1001.0,3,1,99
cellular,218.0,-1.8,93.075,-47.1,1.365,5099.1,997.0,2,4,52
telephone,390.0,1.1,93.994,-36.4,4.857,5191.0,1000.0,1,1,74
cellular,408.0,1.4,93.918,-42.7,4.963,5228.1,1002.0,4,1,48
telephone,160.0,1.1,93.994,-36.4,4.855,5191.0,1002.0,3,1,57
telephone,309.0,1.4,93.444,-36.1,4.968,5228.1,1001.0,3,1,56
telephone,248.0,1.4,94.465,-41.8,4.959,5228.1,1000.0,2,1,52
cellular,133.0,-1.8,92.893,-46.2,1.327,5099.1,1000.0,2,1,30
telephone,305.0,1.1,93.994,-36.4,4.857,5191.0,1001.0,0,1,44
cellular,41.0,-1.8,92.893,-46.2,1.266,5099.1,1000.0,2,1,57
cellular,118.0,1.4,93.918,-42.7,4.961,5228.1,1000.0,3,1,47
telephone,68.0,-0.1,93.2,-42.0,4.663,5195.8,1000.0,4,1,37
cellular,644.5,-1.8,92.893,-46.2,1.313,5099.1,1000.0,2,1,57
cellular,67.0,1.4,93.918,-42.7,4.968,5228.1,1002.0,1,1,46
cellular,644.5,1.4,93.918,-42.7,4.962,5228.1,1005.0,4,1,30
telephone,597.0,1.1,93.994,-36.4,4.859,5191.0,1005.0,2,1,33
cellular,257.0,-2.9,92.963,-40.8,1.26,5076.2,1000.0,2,1,80
cellular,173.0,-1.8,92.893,-46.2,1.313,5099.1,1001.0,3,1,49
cellular,125.0,-0.1,93.2,-42.0,4.153,5195.8,1001.0,0,1,56
cellular,74.0,-1.8,92.893,-46.2,1.244,5099.1,1001.0,2,1,41
telephone,574.0,1.1,93.994,-36.4,4.859,5191.0,1001.0,2,1,61
cellular,281.0,1.4,93.918,-42.7,4.96,5228.1,1000.0,2,1,48
cellular,644.5,-1.8,92.893,-46.2,1.25,5099.1,1002.0,0,1,31
cellular,116.0,1.4,93.918,-42.7,4.96,5228.1,1000.0,2,1,60
cellular,199.0,-1.8,93.075,-47.1,1.405,5099.1,1002.0,2,1,37
cellular,364.0,-1.8,92.893,-46.2,1.25,5099.1,1001.0,2,1,46
cellular,98.0,-1.8,92.893,-46.2,1.327,5099.1,1002.0,2,2,40
cellular,97.0,1.4,93.444,-36.1,4.963,5228.1,1002.0,1,1,43
cellular,61.0,-0.1,93.2,-42.0,4.076,5195.8,1002.0,2,1,52
cellular,635.0,-0.1,93.2,-42.0,4.021,5195.8,1001.0,0,1,49
cellular,193.0,1.4,93.444,-36.1,4.966,5228.1,1000.0,2,1,42
telephone,233.0,1.4,93.918,-42.7,4.962,5228.1,1005.0,2,1,53
cellular,156.0,-1.8,93.075,-47.1,1.365,5099.1,1002.0,0,1,49
telephone,96.0,1.1,93.994,-36.4,4.86,5191.0,1001.0,0,1,50
cellular,199.0,1.4,93.918,-42.7,4.958,5228.1,1001.0,0,1,43
telephone,309.0,-0.1,93.798,-40.4,5.0,5195.8,1000.0,2,1,46
telephone,104.0,1.1,93.994,-36.4,4.857,5191.0,1001.0,2,1,41
cellular,67.0,-1.8,92.893,-46.2,1.313,5099.1,1002.0,2,1,46
cellular,554.0,-0.1,93.2,-42.0,4.076,5195.8,1001.0,2,1,65
cellular,42.0,1.4,93.444,-36.1,4.965,5228.1,1002.0,2,1,56
cellular,270.0,-1.7,94.055,-39.8,0.72,4991.6,1000.0,2,1,34
telephone,19.0,-1.1,94.199,-37.5,0.879,4963.6,1000.0,2,1,54
cellular,134.0,1.4,93.918,-42.7,4.963,5228.1,1005.0,2,1,64
cellular,211.0,1.4,93.918,-42.7,4.962,5228.1,1001.0,1,1,45
cellular,159.0,1.4,93.444,-36.1,4.968,5228.1,1000.0,2,1,52
cellular,580.0,1.4,93.918,-42.7,4.96,5228.1,1002.0,2,1,45
cellular,230.0,1.4,93.444,-36.1,4.97,5228.1,1002.0,2,1,42
telephone,554.0,1.4,94.465,-41.8,4.967,5228.1,1001.0,1,1,47
telephone,157.0,-1.8,92.893,-46.2,1.281,5099.1,1002.0,2,1,62
cellular,644.5,1.4,93.444,-36.1,4.966,5228.1,1001.0,2,1,62
cellular,62.0,-1.1,94.199,-37.5,0.878,4963.6,1002.0,2,1,37
cellular,330.0,-1.8,93.075,-47.1,1.405,5099.1,1000.0,0,1,41
telephone,197.0,1.1,93.994,-36.4,4.857,5191.0,1000.0,0,1,58
telephone,86.0,1.1,93.994,-36.4,4.855,5191.0,1000.0,2,1,60
telephone,107.0,1.1,93.994,-36.4,4.857,5191.0,1002.0,4,1,58
cellular,644.5,1.4,93.444,-36.1,4.964,5228.1,1002.0,4,1,64
cellular,508.0,1.4,93.444,-36.1,4.964,5228.1,1003.0,5,1,47
cellular,13.0,1.4,93.444,-36.1,4.962,5228.1,1005.0,2,1,37
cellular,186.0,1.4,93.444,-36.1,4.963,5228.1,1000.0,4,1,56
cellular,380.0,-0.1,93.2,-42.0,4.12,5195.8,1001.0,4,1,42
cellular,121.0,1.4,93.444,-36.1,4.963,5228.1,1000.0,2,1,46
telephone,185.0,1.1,93.994,-36.4,4.857,5191.0,1005.0,0,1,42
telephone,542.0,1.4,93.918,-42.7,4.963,5228.1,1000.0,1,1,66
telephone,311.0,1.4,93.918,-42.7,4.963,5228.1,1005.0,2,1,43
telephone,84.0,1.4,94.465,-41.8,4.959,5228.1,1002.0,2,1,56
cellular,173.0,-1.8,92.893,-46.2,1.25,5099.1,1003.0,0,1,41
telephone,305.0,1.1,93.994,-36.4,4.86,5191.0,1000.0,1,1,36
telephone,109.0,1.1,93.994,-36.4,4.857,5191.0,1004.0,1,1,48
cellular,644.5,1.4,93.444,-36.1,4.963,5228.1,1002.0,2,1,34
cellular,282.0,1.4,93.918,-42.7,4.961,5228.1,1005.0,4,1,37
cellular,119.0,1.4,93.444,-36.1,4.963,5228.1,1002.0,2,1,53
cellular,62.0,1.4,93.444,-36.1,4.965,5228.1,1003.0,0,1,37
cellular,84.0,-1.8,92.893,-46.2,1.281,5099.1,1000.0,2,1,36
telephone,78.0,1.4,94.465,-41.8,4.967,5228.1,1002.0,1,1,44
cellular,473.0,-1.1,94.199,-37.5,0.877,4963.6,997.0,0,7,60
cellular,39.0,1.4,93.918,-42.7,4.957,5228.1,1005.0,2,1,36
cellular,644.5,1.4,93.918,-42.7,4.961,5228.1,1001.0,2,1,35
cellular,90.0,-1.8,93.075,-47.1,1.392,5099.1,1001.0,2,1,53
cellular,141.0,1.4,93.444,-36.1,4.963,5228.1,1000.0,0,1,47
cellular,66.0,-2.9,92.201,-31.4,0.883,5076.2,1000.0,0,1,66
cellular,89.0,-1.8,93.075,-47.1,1.405,5099.1,1002.0,2,1,47
cellular,125.0,-0.1,93.2,-42.0,4.153,5195.8,1001.0,2,1,37
cellular,185.0,1.4,93.918,-42.7,4.963,5228.1,1003.0,0,1,36
cellular,93.0,-1.8,93.075,-47.1,1.405,5099.1,1003.0,2,1,44
cellular,167.0,-1.8,92.893,-46.2,1.281,5099.1,1000.0,2,1,39
cellular,183.0,-0.1,93.2,-42.0,4.076,5195.8,1002.0,0,1,50
telephone,260.0,1.1,93.994,-36.4,4.859,5191.0,1000.0,4,1,36
telephone,101.0,-0.1,93.798,-40.4,4.968,5195.8,1000.0,0,1,36
telephone,631.0,1.1,93.994,-36.4,4.857,5191.0,1001.0,0,1,52
telephone,267.0,-1.8,92.893,-46.2,1.266,5099.1,1003.0,0,1,35
telephone,644.5,1.1,93.994,-36.4,4.857,5191.0,1000.0,2,1,46
telephone,119.0,-0.1,93.2,-42.0,4.076,5195.8,1002.0,2,1,39
cellular,151.0,1.4,93.918,-42.7,4.968,5228.1,1005.0,2,1,49
cellular,353.0,-0.1,93.2,-42.0,4.191,5195.8,1000.0,2,1,45
telephone,111.0,1.1,93.994,-36.4,4.858,5191.0,1000.0,1,1,36
cellular,148.0,-1.8,93.369,-34.8,0.654,5008.7,1002.0,0,2,47
telephone,93.0,1.1,93.994,-36.4,4.856,5191.0,1000.0,0,1,47
cellular,324.0,-1.8,93.075,-47.1,1.405,5099.1,1003.0,0,1,56
cellular,268.0,-1.8,93.075,-47.1,1.483,5099.1,1000.0,4,1,34
telephone,193.0,-1.8,92.893,-46.2,1.299,5099.1,1001.0,0,1,41
telephone,208.0,1.1,93.994,-36.4,4.856,5191.0,1000.0,2,1,44
telephone,48.0,1.1,93.994,-36.4,4.864,5191.0,1003.0,0,1,34
cellular,5.0,-1.8,92.893,-46.2,1.281,5099.1,1005.0,3,1,49
cellular,244.0,-0.1,93.2,-42.0,4.153,5195.8,1001.0,2,1,64
telephone,134.0,1.1,93.994,-36.4,4.858,5191.0,1002.0,0,1,39
telephone,202.0,1.1,93.994,-36.4,4.856,5191.0,1005.0,1,1,43
cellular,644.5,1.4,93.918,-42.7,4.963,5228.1,1000.0,0,1,40
cellular,120.0,1.4,93.444,-36.1,4.965,5228.1,1001.0,2,1,51
telephone,62.0,1.1,93.994,-36.4,4.857,5191.0,1001.0,3,1,51
telephone,19.0,-0.1,93.798,-40.4,4.968,5195.8,1000.0,0,1,66
telephone,535.0,1.4,94.465,-41.8,4.96,5228.1,1001.0,3,1,55
cellular,292.0,1.4,93.444,-36.1,4.963,5228.1,1000.0,3,1,49
cellular,165.0,-1.8,92.893,-46.2,1.291,5099.1,1002.0,3,1,37
cellular,87.0,-1.8,92.893,-46.2,1.244,5099.1,1001.0,2,1,36
cellular,617.0,-1.8,93.075,-47.1,1.405,5099.1,1000.0,0,1,46
cellular,175.0,-1.8,93.369,-34.8,0.634,5008.7,1001.0,2,1,64
cellular,162.0,1.4,93.444,-36.1,4.964,5228.1,1000.0,2,1,51
cellular,114.0,-0.1,93.2,-42.0,4.076,5195.8,1000.0,2,1,43
telephone,128.0,1.1,93.994,-36.4,4.858,5191.0,1000.0,0,1,45
telephone,252.0,1.4,94.465,-41.8,4.967,5228.1,1003.0,2,1,45
telephone,206.0,-0.1,93.2,-42.0,4.191,5195.8,1000.0,2,1,49
cellular,344.0,-1.8,92.893,-46.2,1.266,5099.1,1003.0,1,1,38
cellular,153.0,-2.9,92.201,-31.4,0.884,5076.2,1002.0,0,1,40
cellular,256.0,-0.1,93.2,-42.0,4.191,5195.8,1001.0,2,1,40
cellular,97.0,-0.1,93.2,-42.0,4.153,5195.8,1002.0,2,1,35
cellular,283.0,-3.4,92.431,-26.949999999999992,0.739,5017.5,1002.0,0,2,51
telephone,222.0,1.1,93.994,-36.4,4.864,5191.0,1000.0,0,1,43
cellular,406.0,1.4,93.444,-36.1,4.966,5228.1,1002.0,2,1,35
telephone,225.0,-1.8,92.893,-46.2,1.266,5099.1,1005.0,2,1,47
telephone,196.0,1.1,93.994,-36.4,4.857,5191.0,1002.0,2,1,59
cellular,333.0,-1.8,92.893,-46.2,1.327,5099.1,1001.0,2,1,71
telephone,338.0,-2.9,92.201,-31.4,0.883,5076.2,1000.0,2,1,43
telephone,21.0,1.4,94.465,-41.8,4.865,5228.1,1000.0,5,1,43
telephone,94.0,1.1,93.994,-36.4,4.855,5191.0,1000.0,0,1,59
telephone,143.0,1.4,94.465,-41.8,4.967,5228.1,1001.0,1,1,60
telephone,63.0,1.4,94.465,-41.8,4.865,5228.1,1001.0,1,1,41
cellular,268.0,-1.1,94.601,-49.5,1.016,4963.6,1001.0,0,1,64
cellular,88.0,1.4,93.918,-42.7,4.961,5228.1,1001.0,0,1,51
cellular,186.0,-1.8,93.075,-47.1,1.405,5099.1,1001.0,2,1,44
cellular,63.0,-0.1,93.2,-42.0,4.191,5195.8,1000.0,2,1,52
cellular,345.0,-1.8,93.075,-47.1,1.405,5099.1,1000.0,2,1,56
telephone,445.0,1.4,94.465,-41.8,4.961,5228.1,1001.0,2,1,62
telephone,37.0,1.1,93.994,-36.4,4.856,5191.0,1001.0,2,1,51
telephone,580.0,1.1,93.994,-36.4,4.857,5191.0,1001.0,2,1,45
cellular,175.0,1.4,93.444,-36.1,4.963,5228.1,1000.0,2,1,62
cellular,160.0,-1.8,92.893,-46.2,1.327,5099.1,1003.0,2,1,43
telephone,588.0,1.1,93.994,-36.4,4.858,5191.0,1001.0,3,1,40
telephone,136.0,1.1,93.994,-36.4,4.855,5191.0,1001.0,1,1,36
telephone,296.0,1.4,94.465,-41.8,4.961,5228.1,1000.0,0,1,35
cellular,215.0,-0.1,93.2,-42.0,4.153,5195.8,1000.0,3,1,38
telephone,507.0,1.1,93.994,-36.4,4.856,5191.0,1000.0,0,1,32
telephone,256.0,1.4,94.465,-41.8,4.961,5228.1,1005.0,1,1,41
cellular,130.0,-1.8,93.075,-47.1,1.405,5099.1,1002.0,2,1,53
telephone,40.0,1.4,94.465,-41.8,4.962,5228.1,1002.0,3,1,41
telephone,127.0,1.1,93.994,-36.4,4.856,5191.0,1005.0,0,1,42
cellular,31.0,-1.8,92.893,-46.2,1.313,5099.1,1000.0,2,1,49
cellular,207.0,-3.4,92.431,-26.949999999999992,0.724,5017.5,997.0,0,3,71
cellular,181.0,-1.8,92.893,-46.2,1.299,5099.1,1000.0,0,1,41
telephone,512.0,1.4,94.465,-41.8,4.961,5228.1,1000.0,3,1,45
cellular,16.0,-1.8,92.893,-46.2,1.327,5099.1,1004.0,3,1,47
telephone,264.0,1.4,94.465,-41.8,4.959,5228.1,1005.0,0,1,54
cellular,217.0,-2.9,92.963,-40.8,1.26,5076.2,1000.0,2,1,37
telephone,130.0,1.4,93.918,-42.7,4.963,5228.1,1001.0,0,1,42
cellular,259.0,1.4,93.918,-42.7,4.963,5228.1,1000.0,0,1,40
telephone,18.0,1.1,93.994,-36.4,4.858,5191.0,1000.0,3,1,45
cellular,122.0,1.4,93.918,-42.7,4.961,5228.1,1000.0,3,1,61
cellular,68.0,-1.8,92.893,-46.2,1.25,5099.1,1000.0,2,1,52
telephone,224.0,1.1,93.994,-36.4,4.86,5191.0,1000.0,4,1,43
cellular,128.0,-1.8,92.893,-46.2,1.327,5099.1,1001.0,2,1,42
cellular,54.0,1.4,93.918,-42.7,4.962,5228.1,1005.0,0,1,43
telephone,430.0,1.4,94.465,-41.8,4.967,5228.1,1000.0,3,1,42
telephone,644.5,1.4,94.465,-41.8,4.962,5228.1,1000.0,5,1,56
telephone,410.0,1.4,94.465,-41.8,4.958,5228.1,1000.0,2,1,54
cellular,173.0,-1.8,93.075,-47.1,1.466,5099.1,1000.0,2,1,50
cellular,200.0,1.4,93.918,-42.7,4.962,5228.1,1000.0,4,1,55
telephone,81.0,1.1,93.994,-36.4,4.858,5191.0,1000.0,0,1,41
telephone,156.0,1.4,94.465,-41.8,4.961,5228.1,1001.0,1,1,47
cellular,166.0,-0.1,93.2,-42.0,4.076,5195.8,1002.0,3,1,40
cellular,531.0,1.4,93.444,-36.1,4.97,5228.1,1000.0,2,1,57
telephone,286.0,1.1,93.994,-36.4,4.857,5191.0,1003.0,3,1,46
telephone,233.0,1.1,93.994,-36.4,4.857,5191.0,1000.0,1,1,48
telephone,142.0,1.4,94.465,-41.8,4.865,5228.1,1002.0,3,1,45
cellular,259.0,-1.8,93.075,-47.1,1.423,5099.1,1000.0,0,1,37
cellular,644.5,-2.9,92.201,-31.4,0.879,5076.2,997.0,2,3,53
telephone,644.5,1.1,93.994,-36.4,4.855,5191.0,1000.0,4,1,30
cellular,19.0,-1.8,93.075,-47.1,1.405,5099.1,1005.0,2,1,35
cellular,182.0,-1.8,92.843,-50.0,1.757,5099.1,1000.0,2,1,53
telephone,179.0,-1.8,92.893,-46.2,1.291,5099.1,1003.0,2,1,35
telephone,253.0,1.1,93.994,-36.4,4.855,5191.0,1000.0,2,1,45
cellular,429.0,1.4,93.918,-42.7,4.963,5228.1,1000.0,2,1,30
cellular,139.0,-2.9,92.201,-31.4,0.883,5076.2,997.0,0,3,37
cellular,528.0,-0.1,93.2,-42.0,4.021,5195.8,1000.0,2,1,66
telephone,108.0,1.4,94.465,-41.8,4.961,5228.1,1000.0,2,1,41
telephone,40.0,1.1,93.994,-36.4,4.857,5191.0,1000.0,1,1,46
cellular,467.0,-2.9,92.963,-40.8,1.26,5076.2,1000.0,2,1,60
cellular,130.0,-0.1,93.2,-42.0,4.153,5195.8,1000.0,2,1,55
telephone,270.0,1.1,93.994,-36.4,4.856,5191.0,1000.0,2,1,50
cellular,550.0,-1.8,92.893,-46.2,1.334,5099.1,1000.0,0,1,43
telephone,73.0,1.4,94.465,-41.8,4.961,5228.1,1001.0,2,1,43
cellular,72.0,-0.1,93.2,-42.0,4.153,5195.8,1001.0,0,1,46
telephone,97.0,1.1,93.994,-36.4,4.857,5191.0,1001.0,0,1,41
cellular,96.0,-1.8,93.075,-47.1,1.405,5099.1,1000.0,0,1,45
cellular,67.0,-1.8,92.893,-46.2,1.299,5099.1,1000.0,2,1,38
cellular,41.0,1.4,93.444,-36.1,4.964,5228.1,1000.0,2,1,49
telephone,383.0,1.4,93.918,-42.7,4.963,5228.1,1005.0,1,1,47
cellular,328.0,1.4,93.444,-36.1,4.965,5228.1,1001.0,2,1,65
cellular,289.0,-1.7,94.215,-40.3,0.827,4991.6,1001.0,2,1,41
cellular,48.0,-1.8,93.075,-47.1,1.405,5099.1,1002.0,0,1,54
cellular,159.0,-0.1,93.2,-42.0,4.021,5195.8,1000.0,4,1,54
cellular,212.0,-1.8,92.893,-46.2,1.266,5099.1,1000.0,2,1,36
cellular,118.0,-1.8,92.893,-46.2,1.344,5099.1,1002.0,0,1,33
telephone,80.0,1.1,93.994,-36.4,4.859,5191.0,1000.0,0,1,45
telephone,218.0,1.1,93.994,-36.4,4.859,5191.0,1001.0,3,1,46
telephone,23.0,-1.8,92.893,-46.2,1.25,5099.1,1003.0,2,1,36
cellular,155.0,-2.9,92.201,-31.4,0.884,5076.2,997.0,0,3,39
cellular,180.0,1.4,93.918,-42.7,4.963,5228.1,1000.0,0,1,44
telephone,266.0,1.1,93.994,-36.4,4.856,5191.0,1000.0,0,1,38
cellular,226.0,1.4,93.918,-42.7,4.961,5228.1,1002.0,2,1,39
cellular,51.0,1.4,93.918,-42.7,4.968,5228.1,1005.0,2,1,60
telephone,644.5,1.4,94.465,-41.8,4.959,5228.1,1000.0,2,1,44
cellular,91.0,-0.1,93.2,-42.0,4.153,5195.8,1000.0,0,1,49
cellular,39.0,1.4,93.918,-42.7,4.962,5228.1,1005.0,0,1,55
telephone,298.0,1.4,94.465,-41.8,4.96,5228.1,1005.0,2,1,35
cellular,200.0,1.4,93.444,-36.1,4.97,5228.1,1000.0,0,1,40
cellular,44.0,-1.8,92.893,-46.2,1.244,5099.1,1003.0,2,1,41
cellular,247.0,1.4,93.918,-42.7,4.957,5228.1,1003.0,3,1,51
telephone,210.0,1.1,93.994,-36.4,4.857,5191.0,1001.0,1,1,36
cellular,79.0,1.4,93.918,-42.7,4.957,5228.1,1000.0,2,1,51
cellular,36.0,-2.9,92.201,-31.4,0.825,5076.2,1001.0,0,1,43
cellular,145.0,1.4,93.918,-42.7,4.957,5228.1,1003.0,2,1,29
cellular,199.0,1.4,93.444,-36.1,4.968,5228.1,1001.0,0,1,43
telephone,168.0,1.4,94.465,-41.8,4.958,5228.1,1005.0,0,1,53
telephone,644.5,1.4,94.465,-41.8,4.961,5228.1,1002.0,2,1,48
telephone,261.0,1.4,94.465,-41.8,4.967,5228.1,1001.0,2,1,47
cellular,149.0,-0.1,93.2,-42.0,4.12,5195.8,1000.0,2,1,62
telephone,185.0,1.4,94.465,-41.8,4.967,5228.1,1000.0,2,1,34
cellular,86.0,1.4,93.918,-42.7,4.968,5228.1,1003.0,2,1,63
cellular,418.0,1.4,93.918,-42.7,4.962,5228.1,1001.0,3,1,53
telephone,472.0,1.1,93.994,-36.4,4.857,5191.0,1000.0,1,1,69
cellular,176.0,-1.8,92.893,-46.2,1.264,5099.1,1000.0,2,1,49
cellular,102.0,-1.8,93.075,-47.1,1.365,5099.1,1000.0,4,1,39
cellular,644.5,-1.8,93.075,-47.1,1.415,5099.1,1003.0,2,1,56
cellular,170.0,-3.4,92.649,-30.1,0.716,5017.5,1000.0,2,1,36
cellular,303.0,-0.1,93.2,-42.0,4.191,5195.8,1001.0,0,1,39
telephone,150.0,1.4,94.465,-41.8,4.866,5228.1,1001.0,3,1,71
